chr1	123316471	124851039	Dpp10	0.873676	0.871182	0.868336	0.869761	0.869185	0.871487	0.86775	0.872903	0.868619	0.870672	0.871367	0.837826	0.839519	0.839067	0.839754	0.869167	0.863122	0.8697	0.864887	0.841411	0.842188	0.863911	0.8706045	0.8702622	0.8450666	0.8575365
chr1	150557524	150998435	Hmcn1	0.880052	0.885127	0.875272	0.883217	0.87687	0.879467	0.878301	0.88466	0.878832	0.878491	0.881221	0.879258	0.882084	0.871694	0.876854	0.877841	0.874844	0.87198	0.869543	0.875832	0.876048	0.87474	0.880000833	0.880301	0.8775462	0.873831167
chr13	117597320	117992418	Hcn1	0.832885	0.817278	0.82389	0.824386	0.840649	0.828885	0.827489	0.826667	0.773975	0.769851	0.819789	0.700301	0.763922	0.767575	0.765619	0.768169	0.766312	0.766669	0.760741	0.776052	0.695527	0.776687	0.8279955	0.8035542	0.7531172	0.756998
chr14	66148257	66286052	Ptk2b	0.704407	0.700607	0.70802	0.695864	0.71457	0.71614	0.704802	0.696516	0.681574	0.699843	0.704553	0.696036	0.702214	0.687907	0.691484	0.680757	0.694135	0.684305	0.667721	0.706029	0.695403	0.696558	0.706601333	0.6974576	0.6916796	0.690691833
chr14	66630251	66776168	Adra1a	0.819134	0.809001	0.81673	0.797173	0.805828	0.817384	0.797885	0.807473	0.813435	0.791733	0.821929	0.803635	0.787742	0.806116	0.80557	0.781883	0.804963	0.808562	0.777566	0.812841	0.796922	0.79953	0.810875	0.806491	0.7969892	0.800064
chr14	70175468	70216989	Sorbs3	0.676871	0.65381	0.659105	0.641416	0.612504	0.64918	0.620652	0.619587	0.620259	0.591173	0.643992	0.589421	0.602616	0.591707	0.648954	0.596904	0.60995	0.634365	0.584284	0.609449	0.63238	0.629351	0.648814333	0.6191326	0.6059204	0.616629833
chr14	75126101	75235842	Lcp1	0.865207	0.861219	0.858832	0.84897	0.842006	0.86458	0.845946	0.843709	0.873187	0.851178	0.868639	0.839702	0.846231	0.852631	0.842784	0.834805	0.862567	0.845166	0.843397	0.865634	0.847247	0.836633	0.856802333	0.8565318	0.8432306	0.850107333
chr14	84438563	84544002	Pcdh17	0.476357	0.451742	0.488046	0.486554	0.494473	0.485546	0.463857	0.446133	0.450531	0.432464	0.471675	0.436512	0.426852	0.44261	0.403612	0.402114	0.461858	0.420826	0.434279	0.459599	0.434373	0.452977	0.480453	0.452932	0.42234	0.443985333
chr15	79224173	79261674	Pick1	0.564061	0.528855	0.534488	0.516374	0.517499	0.562583	0.508071	0.521647	0.517225	0.517854	0.542491	0.580132	0.555893	0.544542	0.548672	0.568391	0.53686	0.532049	0.501073	0.530815	0.538785	0.555753	0.53731	0.5214576	0.559526	0.532555833
chr15	80282238	80403279	Cacna1i	0.807512	0.815541	0.79583	0.777117	0.789018	0.802709	0.781378	0.787469	0.772222	0.760719	0.786069	0.797284	0.780567	0.784063	0.801354	0.783166	0.778386	0.779736	0.753603	0.797368	0.795908	0.794963	0.7979545	0.7775714	0.7892868	0.783327333
chr17	48927379	49102588	Lrfn2	0.782727	0.766924	0.779408	0.762051	0.783062	0.769018	0.760636	0.764411	0.759768	0.767298	0.75222	0.742393	0.746286	0.76284	0.756326	0.759974	0.757863	0.777481	0.765259	0.771572	0.778006	0.778405	0.773865	0.7608666	0.7535638	0.771431
chr4	148155621	148171424	Fbxo2	0.375019	0.378796	0.371563	0.362641	0.374483	0.399228	0.400943	0.393195	0.354455	0.378956	0.3854	0.350173	0.332609	0.375324	0.36292	0.353989	0.392877	0.352951	0.349357	0.360027	0.367796	0.396019	0.376955	0.3825898	0.355003	0.369837833
chr4	149581468	149653899	Clstn1	0.703458	0.718355	0.704983	0.700421	0.700593	0.712754	0.702728	0.713117	0.695237	0.700101	0.704174	0.695712	0.677468	0.702398	0.692515	0.70035	0.690044	0.680766	0.704462	0.702665	0.706267	0.684234	0.706760667	0.7030714	0.6936886	0.694739667
chr6	125685419	126045126	Ano2	0.885129	0.886325	0.881237	0.885983	0.878319	0.842516	0.842482	0.849315	0.884035	0.854543	0.843118	0.848392	0.883353	0.876619	0.882881	0.852728	0.883937	0.880586	0.880383	0.881843	0.882043	0.879256	0.876584833	0.8546986	0.8687946	0.881341333
chr6	135708233	136178511	Grin2b	0.74065	0.728628	0.73354	0.731426	0.742523	0.704498	0.695009	0.682993	0.696042	0.682853	0.675757	0.680658	0.734545	0.719139	0.729808	0.663359	0.721153	0.709615	0.711131	0.741204	0.735822	0.731304	0.730210833	0.6865308	0.7055018	0.725038167
chr6	137472245	137659876	Eps8	0.848329	0.845295	0.848595	0.839764	0.84134	0.809518	0.813019	0.813052	0.8409	0.809593	0.813646	0.807263	0.842607	0.850592	0.847202	0.807429	0.842255	0.846513	0.843135	0.845585	0.850456	0.841814	0.838806833	0.818042	0.8310186	0.844959667
chr8	36089828	36152787	Prag1	0.79673	0.786339	0.800934	0.803504	0.791732	0.796955	0.761706	0.789692	0.755862	0.7563	0.752673	0.788696	0.795534	0.800828	0.796322	0.785534	0.752715	0.754528	0.748081	0.750051	0.757563	0.773216	0.796032333	0.7632466	0.7933828	0.756025667
chr8	36562751	36958143	Dlc1	0.85015	0.850895	0.847235	0.852466	0.849658	0.844478	0.804621	0.806306	0.79886	0.803814	0.808632	0.845003	0.841822	0.852517	0.848835	0.841636	0.803556	0.798602	0.787101	0.80633	0.800587	0.795483	0.849147	0.8044466	0.8459626	0.798609833
chr8	40302458	40391308	Micu3	0.755121	0.733064	0.745465	0.731778	0.744175	0.744709	0.727165	0.727096	0.699787	0.698748	0.702262	0.732611	0.750603	0.743006	0.7321	0.734471	0.699586	0.698062	0.67711	0.704879	0.660714	0.711579	0.742385333	0.7110116	0.7385582	0.691988333
chr8	40418815	40515266	Zdhhc2	0.649488	0.668632	0.66331	0.64402	0.64561	0.663514	0.630641	0.626678	0.615068	0.613053	0.596932	0.634442	0.650088	0.656825	0.653693	0.637909	0.602996	0.613046	0.614848	0.627116	0.608893	0.614498	0.655762333	0.6164744	0.6465914	0.613566167
chr8	123800985	123840287	Rab4a	0.693975	0.698115	0.710355	0.711937	0.699222	0.737135	0.716236	0.717599	0.691227	0.711717	0.70082	0.693997	0.685847	0.689655	0.696764	0.694562	0.694659	0.697016	0.664056	0.702844	0.692243	0.69737	0.7084565	0.7075198	0.692165	0.691364667
chr9	67212087	67564703	Tln2	0.834262	0.857957	0.836163	0.841148	0.855531	0.846967	0.837094	0.830059	0.80189	0.832586	0.808802	0.836412	0.843371	0.805905	0.838756	0.846514	0.832541	0.810517	0.828737	0.833756	0.836682	0.856032	0.845338	0.8220862	0.8341916	0.833044167
